ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00009619,ZAC0014592,04/11/2017 22:33,COMPLETE,09/11/2017 11:23,12/11/2017 07:57,13/11/2017,
ZA-00009620,ZAC0003119,04/11/2017 09:09,COMPLETE,06/11/2017 10:54,12/11/2017 07:28,10/11/2017,
ZA-00009621,ZAC0019836,04/11/2017 10:39,COMPLETE,05/11/2017 05:12,06/11/2017 08:43,09/11/2017,LOYAL5
ZA-00009622,ZAC0002490,04/11/2017 22:03,COMPLETE,05/11/2017 21:55,08/11/2017 02:17,09/11/2017,
ZA-00009623,ZAC0016884,04/11/2017 20:07,COMPLETE,10/11/2017 12:09,11/11/2017 07:15,20/11/2017,WINTER15
ZA-00009624,ZAC0010644,04/11/2017 15:44,COMPLETE,05/11/2017 13:16,10/11/2017 23:32,09/11/2017,
ZA-00009625,ZAC0007613,04/11/2017 22:09,CANCELLED,,,,
ZA-00009626,ZAC0008379,04/11/2017 20:10,COMPLETE,05/11/2017 13:47,06/11/2017 07:42,12/11/2017,
ZA-00009627,ZAC0016968,04/11/2017 19:22,COMPLETE,05/11/2017 07:31,12/11/2017 17:45,10/11/2017,
ZA-00009628,ZAC0006423,04/11/2017 08:25,PENDING,,,,
ZA-00009629,ZAC0001390,04/11/2017 14:55,COMPLETE,06/11/2017 22:44,09/11/2017 13:51,13/11/2017,
ZA-00009630,ZAC0018887,05/11/2017 18:00,COMPLETE,12/11/2017 13:14,15/11/2017 00:35,17/11/2017,
ZA-00009631,ZAC0003970,05/11/2017 13:23,COMPLETE,08/11/2017 02:21,10/11/2017 02:51,18/11/2017,FREESHIP
ZA-00009632,ZAC0023920,05/11/2017 06:56,COMPLETE,06/11/2017 07:24,09/11/2017 19:48,16/11/2017,
ZA-00009633,ZAC0023625,05/11/2017 08:45,COMPLETE,09/11/2017 13:46,10/11/2017 02:20,13/11/2017,FLASH25
ZA-00009634,ZAC0002541,05/11/2017 11:15,COMPLETE,06/11/2017 00:04,08/11/2017 11:27,11/11/2017,
ZA-00009635,ZAC0015188,05/11/2017 10:36,COMPLETE,06/11/2017 12:42,11/11/2017 12:53,09/11/2017,
ZA-00009636,ZAC0011472,05/11/2017 10:21,CANCELLED,,,,
ZA-00009637,ZAC0022466,05/11/2017 21:49,CANCELLED,,,,FLASH25
ZA-00009638,ZAC0011043,05/11/2017 22:10,COMPLETE,11/11/2017 22:12,17/11/2017 08:39,18/11/2017,
ZA-00009639,ZAC0019567,05/11/2017 21:12,COMPLETE,06/11/2017 20:41,09/11/2017 18:22,10/11/2017,
ZA-00009640,ZAC0005166,05/11/2017 15:56,COMPLETE,09/11/2017 16:24,14/11/2017 02:19,16/11/2017,
ZA-00009641,ZAC0007829,05/11/2017 18:12,COMPLETE,06/11/2017 22:31,12/11/2017 09:22,10/11/2017,FLASH25
ZA-00009642,ZAC0020277,05/11/2017 16:18,CANCELLED,,,,
ZA-00009643,ZAC0021635,05/11/2017 16:53,COMPLETE,10/11/2017 21:12,18/11/2017 16:26,17/11/2017,
ZA-00009644,ZAC0010836,05/11/2017 14:15,COMPLETE,07/11/2017 21:44,11/11/2017 11:35,14/11/2017,
ZA-00009645,ZAC0008483,05/11/2017 14:44,COMPLETE,08/11/2017 04:33,10/11/2017 10:40,13/11/2017,WINTER15
ZA-00009646,ZAC0005969,05/11/2017 11:00,COMPLETE,06/11/2017 18:35,10/11/2017 13:59,10/11/2017,WELCOME10
ZA-00009647,ZAC0021885,05/11/2017 10:39,COMPLETE,07/11/2017 01:56,12/11/2017 20:14,11/11/2017,
ZA-00009648,ZAC0003834,05/11/2017 19:04,COMPLETE,06/11/2017 19:37,07/11/2017 08:02,13/11/2017,
ZA-00009649,ZAC0003506,05/11/2017 13:14,COMPLETE,06/11/2017 07:00,10/11/2017 10:09,10/11/2017,
ZA-00009650,ZAC0022344,05/11/2017 15:55,COMPLETE,07/11/2017 07:40,09/11/2017 04:31,14/11/2017,
ZA-00009651,ZAC0004433,05/11/2017 07:11,COMPLETE,09/11/2017 13:08,10/11/2017 18:58,12/11/2017,
ZA-00009652,ZAC0002227,05/11/2017 20:49,COMPLETE,10/11/2017 11:44,12/11/2017 06:15,13/11/2017,
ZA-00009653,ZAC0010331,05/11/2017 16:23,COMPLETE,06/11/2017 16:51,08/11/2017 13:58,11/11/2017,
ZA-00009654,ZAC0002760,05/11/2017 14:13,COMPLETE,06/11/2017 09:39,08/11/2017 15:42,09/11/2017,
ZA-00009655,ZAC0006592,05/11/2017 20:25,COMPLETE,08/11/2017 13:21,19/11/2017 00:18,11/11/2017,
ZA-00009656,ZAC0022713,05/11/2017 16:34,COMPLETE,06/11/2017 15:28,09/11/2017 14:57,10/11/2017,
ZA-00009657,ZAC0008344,05/11/2017 14:38,COMPLETE,06/11/2017 19:13,07/11/2017 06:00,10/11/2017,
ZA-00009658,ZAC0013515,05/11/2017 11:50,CANCELLED,,,,
ZA-00009659,ZAC0011971,05/11/2017 12:25,COMPLETE,08/11/2017 19:56,09/11/2017 16:48,11/11/2017,LOYAL5
ZA-00009660,ZAC0000548,05/11/2017 08:36,COMPLETE,08/11/2017 14:31,09/11/2017 02:11,15/11/2017,
ZA-00009661,ZAC0001875,05/11/2017 06:48,COMPLETE,05/11/2017 18:21,10/11/2017 06:23,09/11/2017,BULK20
ZA-00009662,ZAC0001788,05/11/2017 12:14,COMPLETE,05/11/2017 18:36,13/11/2017 14:36,15/11/2017,
ZA-00009663,ZAC0016530,05/11/2017 17:34,COMPLETE,06/11/2017 14:37,15/11/2017 23:08,10/11/2017,
ZA-00009664,ZAC0008690,05/11/2017 20:13,COMPLETE,07/11/2017 22:30,08/11/2017 15:46,12/11/2017,
ZA-00009665,ZAC0007278,05/11/2017 18:42,COMPLETE,08/11/2017 19:48,15/11/2017 20:45,13/11/2017,
ZA-00009666,ZAC0014698,05/11/2017 08:55,COMPLETE,05/11/2017 13:29,11/11/2017 00:44,08/11/2017,
ZA-00009667,ZAC0005017,05/11/2017 22:28,COMPLETE,10/11/2017 21:56,19/11/2017 13:44,14/11/2017,BULK20
ZA-00009668,ZAC0019166,05/11/2017 17:30,COMPLETE,12/11/2017 03:23,15/11/2017 03:22,17/11/2017,
ZA-00009669,ZAC0012776,05/11/2017 08:30,COMPLETE,06/11/2017 19:20,09/11/2017 02:07,09/11/2017,
ZA-00009670,ZAC0016491,05/11/2017 21:26,COMPLETE,08/11/2017 01:03,15/11/2017 09:42,11/11/2017,WELCOME10
ZA-00009671,ZAC0019834,05/11/2017 12:50,COMPLETE,07/11/2017 18:12,08/11/2017 15:21,17/11/2017,
ZA-00009672,ZAC0021246,05/11/2017 11:39,COMPLETE,07/11/2017 15:09,11/11/2017 05:48,10/11/2017,
ZA-00009673,ZAC0017665,05/11/2017 08:36,COMPLETE,08/11/2017 00:51,15/11/2017 10:25,18/11/2017,LOYAL5
ZA-00009674,ZAC0000148,05/11/2017 13:23,COMPLETE,10/11/2017 17:49,12/11/2017 22:54,15/11/2017,
ZA-00009675,ZAC0001508,05/11/2017 09:33,COMPLETE,06/11/2017 19:15,11/11/2017 01:14,11/11/2017,
ZA-00009676,ZAC0016439,05/11/2017 14:37,COMPLETE,06/11/2017 20:20,09/11/2017 09:14,13/11/2017,
ZA-00009677,ZAC0016112,05/11/2017 22:13,COMPLETE,06/11/2017 19:12,07/11/2017 19:34,10/11/2017,
ZA-00009678,ZAC0019320,05/11/2017 16:23,COMPLETE,13/11/2017 23:25,16/11/2017 06:28,16/11/2017,
ZA-00009679,ZAC0021439,05/11/2017 07:16,COMPLETE,10/11/2017 18:40,13/11/2017 14:01,15/11/2017,
ZA-00009680,ZAC0007556,06/11/2017 06:40,COMPLETE,06/11/2017 16:26,12/11/2017 06:45,13/11/2017,
ZA-00009681,ZAC0016295,06/11/2017 10:02,COMPLETE,08/11/2017 02:35,10/11/2017 08:31,13/11/2017,FLASH25
ZA-00009682,ZAC0008491,06/11/2017 21:19,COMPLETE,08/11/2017 15:53,09/11/2017 10:40,13/11/2017,FLASH25
ZA-00009683,ZAC0023617,06/11/2017 12:09,COMPLETE,10/11/2017 04:20,14/11/2017 09:55,14/11/2017,
ZA-00009684,ZAC0023461,06/11/2017 08:58,COMPLETE,07/11/2017 16:39,09/11/2017 17:06,12/11/2017,WELCOME10
ZA-00009685,ZAC0018063,06/11/2017 17:18,COMPLETE,07/11/2017 23:57,15/11/2017 01:20,14/11/2017,
ZA-00009686,ZAC0009452,06/11/2017 13:30,COMPLETE,07/11/2017 12:00,17/11/2017 10:34,10/11/2017,BULK20
ZA-00009687,ZAC0001026,06/11/2017 09:08,COMPLETE,07/11/2017 13:49,09/11/2017 00:37,11/11/2017,
ZA-00009688,ZAC0018267,06/11/2017 06:47,COMPLETE,10/11/2017 06:24,11/11/2017 08:49,14/11/2017,
ZA-00009689,ZAC0016183,06/11/2017 22:39,COMPLETE,08/11/2017 21:01,13/11/2017 08:29,11/11/2017,
ZA-00009690,ZAC0021394,06/11/2017 11:31,COMPLETE,09/11/2017 02:43,14/11/2017 15:04,12/11/2017,
ZA-00009691,ZAC0014641,06/11/2017 18:14,COMPLETE,08/11/2017 04:25,13/11/2017 07:20,13/11/2017,
ZA-00009692,ZAC0013887,06/11/2017 10:18,COMPLETE,08/11/2017 20:23,19/11/2017 17:52,15/11/2017,
ZA-00009693,ZAC0016985,06/11/2017 10:41,COMPLETE,09/11/2017 06:41,15/11/2017 07:34,14/11/2017,
ZA-00009694,ZAC0003746,06/11/2017 06:17,COMPLETE,08/11/2017 15:26,18/11/2017 15:14,15/11/2017,WINTER15
ZA-00009695,ZAC0013951,06/11/2017 07:04,COMPLETE,10/11/2017 16:37,13/11/2017 17:05,14/11/2017,
ZA-00009696,ZAC0000782,06/11/2017 11:14,COMPLETE,10/11/2017 16:24,15/11/2017 13:02,15/11/2017,
ZA-00009697,ZAC0012548,06/11/2017 11:00,COMPLETE,09/11/2017 23:09,16/11/2017 07:26,13/11/2017,
ZA-00009698,ZAC0019984,06/11/2017 11:35,COMPLETE,09/11/2017 01:36,10/11/2017 14:26,12/11/2017,
ZA-00009699,ZAC0011887,06/11/2017 17:08,COMPLETE,07/11/2017 15:54,12/11/2017 09:09,12/11/2017,
ZA-00009700,ZAC0018865,06/11/2017 21:10,COMPLETE,09/11/2017 14:33,12/11/2017 19:26,16/11/2017,
ZA-00009701,ZAC0018215,06/11/2017 22:28,COMPLETE,09/11/2017 01:20,11/11/2017 05:46,16/11/2017,
ZA-00009702,ZAC0010432,06/11/2017 21:48,COMPLETE,10/11/2017 08:53,17/11/2017 01:56,17/11/2017,
ZA-00009703,ZAC0020695,06/11/2017 11:07,COMPLETE,09/11/2017 17:29,10/11/2017 22:21,16/11/2017,FREESHIP
ZA-00009704,ZAC0020355,06/11/2017 16:23,COMPLETE,11/11/2017 02:27,13/11/2017 00:46,21/11/2017,
ZA-00009705,ZAC0010343,06/11/2017 09:21,COMPLETE,09/11/2017 20:01,11/11/2017 02:28,16/11/2017,WELCOME10
ZA-00009706,ZAC0021386,06/11/2017 22:25,COMPLETE,08/11/2017 15:36,12/11/2017 01:38,13/11/2017,
ZA-00009707,ZAC0002737,06/11/2017 21:13,COMPLETE,08/11/2017 14:04,14/11/2017 09:22,15/11/2017,
ZA-00009708,ZAC0018129,06/11/2017 18:39,COMPLETE,13/11/2017 04:54,18/11/2017 05:34,17/11/2017,
ZA-00009709,ZAC0003662,06/11/2017 11:11,CANCELLED,,,,
ZA-00009710,ZAC0013879,06/11/2017 12:57,COMPLETE,06/11/2017 20:15,10/11/2017 00:49,10/11/2017,
ZA-00009711,ZAC0019226,06/11/2017 18:55,COMPLETE,10/11/2017 20:35,19/11/2017 20:53,17/11/2017,
ZA-00009712,ZAC0003853,06/11/2017 09:28,COMPLETE,07/11/2017 05:32,09/11/2017 12:34,14/11/2017,
ZA-00009713,ZAC0008559,06/11/2017 16:02,COMPLETE,13/11/2017 01:52,14/11/2017 19:49,20/11/2017,
ZA-00009714,ZAC0016510,06/11/2017 13:19,COMPLETE,07/11/2017 09:16,14/11/2017 16:53,14/11/2017,
ZA-00009715,ZAC0014577,06/11/2017 06:09,COMPLETE,09/11/2017 08:47,13/11/2017 04:13,16/11/2017,
ZA-00009716,ZAC0023956,06/11/2017 06:42,COMPLETE,07/11/2017 02:34,14/11/2017 10:12,14/11/2017,
ZA-00009717,ZAC0003160,06/11/2017 19:19,COMPLETE,08/11/2017 03:18,10/11/2017 05:57,13/11/2017,BULK20
ZA-00009718,ZAC0002644,06/11/2017 09:12,COMPLETE,07/11/2017 08:07,11/11/2017 02:59,11/11/2017,FREESHIP
ZA-00009719,ZAC0023679,06/11/2017 18:32,COMPLETE,09/11/2017 03:57,11/11/2017 10:07,16/11/2017,
ZA-00009720,ZAC0006122,06/11/2017 12:16,COMPLETE,07/11/2017 14:15,13/11/2017 10:18,12/11/2017,BULK20
ZA-00009721,ZAC0015273,06/11/2017 11:36,COMPLETE,06/11/2017 14:23,12/11/2017 10:29,10/11/2017,WINTER15
ZA-00009722,ZAC0003449,06/11/2017 20:14,DISPATCHED,11/11/2017 23:30,,15/11/2017,
ZA-00009723,ZAC0000435,06/11/2017 22:12,COMPLETE,08/11/2017 13:10,11/11/2017 05:21,12/11/2017,
ZA-00009724,ZAC0012757,06/11/2017 07:59,COMPLETE,11/11/2017 13:03,17/11/2017 11:10,16/11/2017,WINTER15
ZA-00009725,ZAC0007671,06/11/2017 17:33,COMPLETE,08/11/2017 00:34,09/11/2017 14:10,13/11/2017,
ZA-00009726,ZAC0001658,06/11/2017 20:50,COMPLETE,09/11/2017 10:13,18/11/2017 05:57,12/11/2017,
ZA-00009727,ZAC0008876,06/11/2017 17:16,COMPLETE,07/11/2017 09:40,11/11/2017 06:41,14/11/2017,
ZA-00009728,ZAC0012090,06/11/2017 11:57,COMPLETE,07/11/2017 09:08,11/11/2017 15:38,10/11/2017,
ZA-00009729,ZAC0016288,06/11/2017 17:50,CANCELLED,,,,FREESHIP
ZA-00009730,ZAC0019483,06/11/2017 20:03,COMPLETE,07/11/2017 23:11,08/11/2017 16:03,11/11/2017,
ZA-00009731,ZAC0013356,06/11/2017 11:39,COMPLETE,09/11/2017 10:05,15/11/2017 07:42,14/11/2017,BULK20
ZA-00009732,ZAC0004579,06/11/2017 21:43,COMPLETE,07/11/2017 16:45,19/11/2017 08:29,10/11/2017,
ZA-00009733,ZAC0006124,06/11/2017 19:45,CANCELLED,,,,
ZA-00009734,ZAC0008662,06/11/2017 21:27,COMPLETE,07/11/2017 10:18,11/11/2017 06:34,14/11/2017,
ZA-00009735,ZAC0018613,06/11/2017 15:33,COMPLETE,07/11/2017 13:57,10/11/2017 23:44,12/11/2017,
ZA-00009736,ZAC0002069,07/11/2017 16:33,DISPATCHED,09/11/2017 23:41,,12/11/2017,
ZA-00009737,ZAC0004353,07/11/2017 12:31,COMPLETE,08/11/2017 22:28,11/11/2017 02:40,13/11/2017,
ZA-00009738,ZAC0019126,07/11/2017 14:16,PENDING,,,,
ZA-00009739,ZAC0015517,07/11/2017 14:07,COMPLETE,08/11/2017 11:32,15/11/2017 13:55,13/11/2017,BULK20
ZA-00009740,ZAC0000442,07/11/2017 13:38,COMPLETE,08/11/2017 00:36,11/11/2017 06:33,13/11/2017,
ZA-00009741,ZAC0019445,07/11/2017 09:07,COMPLETE,08/11/2017 18:55,13/11/2017 11:08,13/11/2017,
ZA-00009742,ZAC0009841,07/11/2017 14:10,COMPLETE,09/11/2017 16:02,20/11/2017 13:36,12/11/2017,
ZA-00009743,ZAC0022417,07/11/2017 19:02,COMPLETE,09/11/2017 04:06,13/11/2017 18:12,13/11/2017,
ZA-00009744,ZAC0002458,07/11/2017 19:14,COMPLETE,10/11/2017 16:43,13/11/2017 18:56,13/11/2017,
ZA-00009745,ZAC0012711,07/11/2017 08:08,COMPLETE,08/11/2017 09:03,12/11/2017 23:24,15/11/2017,
ZA-00009746,ZAC0008580,07/11/2017 08:27,COMPLETE,08/11/2017 12:07,13/11/2017 21:23,13/11/2017,
ZA-00009747,ZAC0021627,07/11/2017 18:03,COMPLETE,09/11/2017 10:45,20/11/2017 18:34,13/11/2017,
ZA-00009748,ZAC0012141,07/11/2017 19:16,COMPLETE,11/11/2017 05:56,12/11/2017 11:33,15/11/2017,
ZA-00009749,ZAC0020850,07/11/2017 16:34,RETURNED,13/11/2017 08:28,19/11/2017 05:23,17/11/2017,
ZA-00009750,ZAC0020624,07/11/2017 19:12,COMPLETE,08/11/2017 15:00,15/11/2017 17:44,18/11/2017,
ZA-00009751,ZAC0012855,07/11/2017 16:08,COMPLETE,08/11/2017 23:35,12/11/2017 11:03,13/11/2017,
ZA-00009752,ZAC0006264,07/11/2017 11:10,COMPLETE,10/11/2017 03:59,10/11/2017 15:06,17/11/2017,
ZA-00009753,ZAC0022609,07/11/2017 07:25,COMPLETE,10/11/2017 01:20,17/11/2017 00:32,14/11/2017,
ZA-00009754,ZAC0009167,07/11/2017 10:21,COMPLETE,10/11/2017 14:08,14/11/2017 21:16,14/11/2017,
ZA-00009755,ZAC0007078,07/11/2017 10:53,COMPLETE,13/11/2017 10:13,19/11/2017 08:57,17/11/2017,FLASH25
ZA-00009756,ZAC0013533,07/11/2017 21:52,COMPLETE,09/11/2017 01:16,13/11/2017 15:22,13/11/2017,
ZA-00009757,ZAC0011514,07/11/2017 17:50,COMPLETE,08/11/2017 21:02,10/11/2017 06:54,13/11/2017,LOYAL5
ZA-00009758,ZAC0002427,07/11/2017 18:33,COMPLETE,08/11/2017 02:47,13/11/2017 11:32,13/11/2017,BULK20
ZA-00009759,ZAC0006021,07/11/2017 21:14,COMPLETE,09/11/2017 20:39,19/11/2017 16:44,14/11/2017,
ZA-00009760,ZAC0018151,07/11/2017 21:47,COMPLETE,08/11/2017 23:16,14/11/2017 16:48,15/11/2017,
ZA-00009761,ZAC0020111,07/11/2017 10:43,COMPLETE,07/11/2017 20:58,09/11/2017 01:05,12/11/2017,
ZA-00009762,ZAC0011936,07/11/2017 18:37,COMPLETE,10/11/2017 05:44,13/11/2017 08:45,13/11/2017,
ZA-00009763,ZAC0010726,07/11/2017 09:00,COMPLETE,07/11/2017 18:54,12/11/2017 22:13,12/11/2017,
ZA-00009764,ZAC0018972,07/11/2017 19:27,COMPLETE,09/11/2017 11:06,11/11/2017 02:11,12/11/2017,
ZA-00009765,ZAC0022283,07/11/2017 10:06,COMPLETE,12/11/2017 02:36,14/11/2017 15:50,16/11/2017,
ZA-00009766,ZAC0008870,07/11/2017 14:12,COMPLETE,10/11/2017 22:22,15/11/2017 13:52,15/11/2017,
ZA-00009767,ZAC0023987,07/11/2017 13:29,COMPLETE,11/11/2017 16:11,19/11/2017 03:00,16/11/2017,
ZA-00009768,ZAC0010134,07/11/2017 10:10,COMPLETE,09/11/2017 23:46,12/11/2017 12:05,12/11/2017,
ZA-00009769,ZAC0017816,07/11/2017 15:53,COMPLETE,11/11/2017 22:15,20/11/2017 14:56,18/11/2017,
ZA-00009770,ZAC0021034,07/11/2017 09:25,COMPLETE,08/11/2017 05:15,20/11/2017 20:13,13/11/2017,LOYAL5
ZA-00009771,ZAC0016112,07/11/2017 15:39,COMPLETE,08/11/2017 09:11,18/11/2017 12:42,11/11/2017,
ZA-00009772,ZAC0007413,07/11/2017 13:49,COMPLETE,08/11/2017 08:13,09/11/2017 23:28,15/11/2017,
ZA-00009773,ZAC0014448,07/11/2017 21:58,COMPLETE,10/11/2017 16:00,14/11/2017 14:08,14/11/2017,
ZA-00009774,ZAC0018904,07/11/2017 18:58,COMPLETE,08/11/2017 21:20,17/11/2017 01:34,18/11/2017,FLASH25
ZA-00009775,ZAC0004509,07/11/2017 11:05,COMPLETE,10/11/2017 23:00,14/11/2017 22:08,15/11/2017,
ZA-00009776,ZAC0014310,07/11/2017 21:43,COMPLETE,09/11/2017 15:19,20/11/2017 21:32,12/11/2017,LOYAL5
ZA-00009777,ZAC0000971,07/11/2017 18:48,COMPLETE,08/11/2017 21:10,27/11/2017 06:57,12/11/2017,LOYAL5
ZA-00009778,ZAC0017665,07/11/2017 08:14,COMPLETE,09/11/2017 16:44,12/11/2017 20:08,14/11/2017,BULK20
ZA-00009779,ZAC0022747,07/11/2017 16:48,COMPLETE,10/11/2017 19:54,12/11/2017 21:25,14/11/2017,
ZA-00009780,ZAC0022999,07/11/2017 08:03,COMPLETE,09/11/2017 15:41,14/11/2017 14:26,16/11/2017,
ZA-00009781,ZAC0007002,07/11/2017 13:51,COMPLETE,07/11/2017 22:51,13/11/2017 05:15,12/11/2017,
ZA-00009782,ZAC0002610,07/11/2017 21:46,COMPLETE,08/11/2017 14:26,15/11/2017 12:07,12/11/2017,
ZA-00009783,ZAC0009365,08/11/2017 18:36,COMPLETE,09/11/2017 03:18,12/11/2017 20:00,16/11/2017,
ZA-00009784,ZAC0005398,08/11/2017 16:11,COMPLETE,11/11/2017 12:24,16/11/2017 06:17,15/11/2017,WELCOME10
ZA-00009785,ZAC0017318,08/11/2017 20:45,DISPATCHED,09/11/2017 20:47,,16/11/2017,
ZA-00009786,ZAC0010763,08/11/2017 22:38,COMPLETE,10/11/2017 18:50,13/11/2017 02:48,15/11/2017,
ZA-00009787,ZAC0016118,08/11/2017 18:53,COMPLETE,09/11/2017 12:26,15/11/2017 16:11,16/11/2017,
ZA-00009788,ZAC0023684,08/11/2017 13:15,COMPLETE,11/11/2017 13:03,12/11/2017 23:10,14/11/2017,
ZA-00009789,ZAC0009738,08/11/2017 11:42,COMPLETE,13/11/2017 03:25,16/11/2017 05:59,17/11/2017,
ZA-00009790,ZAC0020405,08/11/2017 15:33,COMPLETE,12/11/2017 06:18,17/11/2017 15:00,19/11/2017,
ZA-00009791,ZAC0014531,08/11/2017 20:44,COMPLETE,10/11/2017 00:30,12/11/2017 18:30,17/11/2017,BULK20
ZA-00009792,ZAC0007344,08/11/2017 22:06,COMPLETE,14/11/2017 03:34,16/11/2017 10:23,24/11/2017,FREESHIP
ZA-00009793,ZAC0020564,08/11/2017 11:35,COMPLETE,20/11/2017 11:56,21/11/2017 10:11,27/11/2017,
ZA-00009794,ZAC0022866,08/11/2017 07:11,COMPLETE,09/11/2017 04:38,15/11/2017 17:03,12/11/2017,
ZA-00009795,ZAC0000144,08/11/2017 16:47,COMPLETE,10/11/2017 17:07,13/11/2017 16:54,14/11/2017,
ZA-00009796,ZAC0021524,08/11/2017 13:33,COMPLETE,10/11/2017 05:29,12/11/2017 14:11,14/11/2017,FLASH25
ZA-00009797,ZAC0022645,08/11/2017 18:09,DISPATCHED,09/11/2017 07:55,,13/11/2017,BULK20
ZA-00009798,ZAC0007336,08/11/2017 07:57,COMPLETE,12/11/2017 02:12,17/11/2017 00:11,17/11/2017,
ZA-00009799,ZAC0018281,08/11/2017 06:46,COMPLETE,08/11/2017 19:53,12/11/2017 17:04,15/11/2017,
ZA-00009800,ZAC0008434,08/11/2017 16:25,COMPLETE,11/11/2017 23:56,13/11/2017 17:47,15/11/2017,
ZA-00009801,ZAC0017738,08/11/2017 08:31,COMPLETE,08/11/2017 21:37,11/11/2017 09:08,12/11/2017,
ZA-00009802,ZAC0004132,08/11/2017 22:34,COMPLETE,12/11/2017 15:44,19/11/2017 03:31,16/11/2017,
ZA-00009803,ZAC0023359,08/11/2017 07:11,COMPLETE,09/11/2017 07:28,11/11/2017 23:17,16/11/2017,
ZA-00009804,ZAC0007313,08/11/2017 06:15,COMPLETE,12/11/2017 08:02,15/11/2017 16:21,19/11/2017,
ZA-00009805,ZAC0012703,08/11/2017 21:03,CANCELLED,,,,
ZA-00009806,ZAC0000171,08/11/2017 19:36,COMPLETE,11/11/2017 09:32,22/11/2017 07:12,16/11/2017,FREESHIP
ZA-00009807,ZAC0023572,08/11/2017 17:56,COMPLETE,10/11/2017 01:53,11/11/2017 21:03,14/11/2017,
ZA-00009808,ZAC0006452,08/11/2017 14:09,COMPLETE,10/11/2017 16:37,17/11/2017 15:02,14/11/2017,
ZA-00009809,ZAC0012320,08/11/2017 18:45,COMPLETE,09/11/2017 00:29,11/11/2017 22:32,13/11/2017,
ZA-00009810,ZAC0018057,08/11/2017 11:40,COMPLETE,10/11/2017 23:13,15/11/2017 08:06,13/11/2017,
ZA-00009811,ZAC0005627,08/11/2017 21:49,COMPLETE,11/11/2017 01:49,12/11/2017 11:51,15/11/2017,
ZA-00009812,ZAC0018950,08/11/2017 16:06,COMPLETE,09/11/2017 09:35,13/11/2017 03:17,16/11/2017,
ZA-00009813,ZAC0004153,08/11/2017 11:21,COMPLETE,09/11/2017 23:27,14/11/2017 04:40,14/11/2017,
ZA-00009814,ZAC0011990,08/11/2017 13:50,COMPLETE,09/11/2017 16:45,10/11/2017 12:08,19/11/2017,
ZA-00009815,ZAC0016470,08/11/2017 11:53,CANCELLED,,,,
ZA-00009816,ZAC0018536,08/11/2017 12:31,COMPLETE,10/11/2017 09:08,12/11/2017 23:46,13/11/2017,
ZA-00009817,ZAC0010758,08/11/2017 10:20,RETURNED,09/11/2017 13:17,10/11/2017 16:16,19/11/2017,
ZA-00009818,ZAC0012779,08/11/2017 12:54,COMPLETE,08/11/2017 19:49,11/11/2017 09:13,12/11/2017,
ZA-00009819,ZAC0008288,08/11/2017 11:13,COMPLETE,09/11/2017 17:28,13/11/2017 01:00,16/11/2017,
ZA-00009820,ZAC0023606,08/11/2017 18:33,COMPLETE,11/11/2017 18:18,17/11/2017 07:51,18/11/2017,LOYAL5
ZA-00009821,ZAC0011367,08/11/2017 16:35,DISPATCHED,10/11/2017 15:41,,17/11/2017,
ZA-00009822,ZAC0013849,08/11/2017 14:53,CANCELLED,,,,
ZA-00009823,ZAC0009516,08/11/2017 07:55,COMPLETE,10/11/2017 06:54,16/11/2017 22:40,20/11/2017,
ZA-00009824,ZAC0023709,08/11/2017 15:34,COMPLETE,09/11/2017 17:06,15/11/2017 06:31,16/11/2017,
ZA-00009825,ZAC0021157,08/11/2017 14:00,COMPLETE,10/11/2017 19:16,14/11/2017 13:03,14/11/2017,
ZA-00009826,ZAC0001495,08/11/2017 06:26,COMPLETE,08/11/2017 15:12,15/11/2017 12:41,12/11/2017,
ZA-00009827,ZAC0000157,08/11/2017 13:23,COMPLETE,10/11/2017 11:43,13/11/2017 13:43,14/11/2017,FREESHIP
ZA-00009828,ZAC0005588,08/11/2017 22:24,COMPLETE,11/11/2017 15:21,18/11/2017 23:16,16/11/2017,WINTER15
ZA-00009829,ZAC0007418,08/11/2017 17:33,COMPLETE,09/11/2017 13:09,15/11/2017 12:42,13/11/2017,
ZA-00009830,ZAC0016787,08/11/2017 14:42,COMPLETE,10/11/2017 04:55,13/11/2017 08:53,17/11/2017,
ZA-00009831,ZAC0018153,08/11/2017 06:37,COMPLETE,09/11/2017 17:18,13/11/2017 10:25,12/11/2017,BULK20
ZA-00009832,ZAC0022873,08/11/2017 09:38,COMPLETE,14/11/2017 01:55,15/11/2017 01:57,21/11/2017,
ZA-00009833,ZAC0007866,08/11/2017 17:03,COMPLETE,11/11/2017 18:31,13/11/2017 20:43,16/11/2017,
ZA-00009834,ZAC0012423,08/11/2017 21:41,CANCELLED,,,,
ZA-00009835,ZAC0018753,08/11/2017 20:08,COMPLETE,09/11/2017 17:29,13/11/2017 21:03,14/11/2017,
ZA-00009836,ZAC0022060,08/11/2017 08:28,COMPLETE,09/11/2017 19:00,11/11/2017 16:09,16/11/2017,BULK20
ZA-00009837,ZAC0008295,08/11/2017 22:38,RETURNED,09/11/2017 10:06,12/11/2017 01:58,14/11/2017,LOYAL5
ZA-00009838,ZAC0004084,08/11/2017 21:08,COMPLETE,09/11/2017 22:00,18/11/2017 10:05,16/11/2017,
