buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0015546,cc652484325297d8,6057,Port Elizabeth,Eastern Cape,08/03/2017,paid_search
ZAC0015568,94991a9e7409ad4c,205,Centurion,Gauteng,02/03/2017,email
ZAC0015571,e884923f039f35f4,1848,Soweto,Gauteng,31/03/2017,social
ZAC0015614,4187d060df147954,715,Polokwane,Limpopo,11/03/2017,social
ZAC0015668,d08cd912f26d0662,4000,Durban,KwaZulu-Natal,04/03/2017,referral
ZAC0015734,06ee71dc63d85c5e,4037,Durban,KwaZulu-Natal,20/03/2017,organic
ZAC0015844,90b91a98d58412fa,8343,Kimberley,Northern Cape,27/03/2017,social
ZAC0015853,a10377bcf5d530c8,2023,Johannesburg,Gauteng,14/03/2017,referral
ZAC0015862,9c756a695858d3b8,4036,Durban,KwaZulu-Natal,08/03/2017,paid_search
ZAC0015883,bae97a109d5e780c,737,Polokwane,Limpopo,29/03/2017,referral
ZAC0015894,0b68f523d0154461,700,Polokwane,Limpopo,27/03/2017,paid_search
ZAC0015919,1ebbcb051c3e201b,7618,Stellenbosch,Western Cape,15/03/2017,email
ZAC0016000,d6f954b179d0d78f,1213,Nelspruit,Mpumalanga,18/03/2017,social
ZAC0016067,05b3040a1bc4f1e5,2037,Johannesburg,Gauteng,02/03/2017,referral
ZAC0016100,49806f774417fd08,9346,Bloemfontein,Free State,15/03/2017,organic
ZAC0016131,688b2e46c77961ab,1833,Soweto,Gauteng,18/03/2017,social
ZAC0016159,3ac47566e7093602,2203,Sandton,Gauteng,21/03/2017,referral
ZAC0016213,7ab4eb1b1467d37d,3248,Pietermaritzburg,KwaZulu-Natal,11/03/2017,organic
ZAC0016366,23a56cbb11825729,2004,Johannesburg,Gauteng,25/03/2017,paid_search
ZAC0016439,6fb445309b1e3c08,6018,Port Elizabeth,Eastern Cape,20/03/2017,social
ZAC0016503,4040fc7238741b9c,4006,Durban,KwaZulu-Natal,10/03/2017,social
ZAC0016512,d8d21b974e27850b,711,Polokwane,Limpopo,25/03/2017,paid_search
ZAC0016557,123147d42ffb06f5,3204,Pietermaritzburg,KwaZulu-Natal,04/03/2017,paid_search
ZAC0016568,6c8f0a34c8b1809a,50,Pretoria,Gauteng,25/03/2017,paid_search
ZAC0016580,950392c995545ace,2019,Johannesburg,Gauteng,16/03/2017,referral
ZAC0016615,3fc6f4bbe6dbae7c,7647,Stellenbosch,Western Cape,30/03/2017,social
ZAC0016672,a50ec608147fc8e9,7641,Stellenbosch,Western Cape,11/03/2017,paid_search
ZAC0016846,6c6ec84521860994,5222,East London,Eastern Cape,31/03/2017,referral
ZAC0016886,721f32ffd420064a,5204,East London,Eastern Cape,01/03/2017,social
ZAC0016937,fb960253cfdd2e6f,9319,Bloemfontein,Free State,07/03/2017,organic
ZAC0017011,d6a8545491e0dfa3,9314,Bloemfontein,Free State,01/03/2017,email
ZAC0017017,f537a3973c0efad7,4004,Durban,KwaZulu-Natal,04/03/2017,organic
ZAC0017073,ba91f7e2321cba3a,9300,Bloemfontein,Free State,08/03/2017,social
ZAC0017121,2954840a0dcd8939,183,Centurion,Gauteng,11/03/2017,social
ZAC0017141,1076451612d08e5d,8302,Kimberley,Northern Cape,14/03/2017,paid_search
ZAC0017211,18c7655f7e5b9c55,1232,Nelspruit,Mpumalanga,26/03/2017,organic
ZAC0017235,3ea15f2ac8fe0796,7624,Stellenbosch,Western Cape,22/03/2017,organic
ZAC0017275,83dfb8ef8de87a01,8332,Kimberley,Northern Cape,21/03/2017,organic
ZAC0017280,f004330e611c7ba5,30,Pretoria,Gauteng,20/03/2017,paid_search
ZAC0017310,05888523f2897c13,7614,Stellenbosch,Western Cape,14/03/2017,organic
ZAC0017361,c1a5aafa0b1158fb,199,Centurion,Gauteng,14/03/2017,organic
ZAC0017410,dec6709ac46eed52,2005,Johannesburg,Gauteng,30/03/2017,paid_search
ZAC0017451,1ff281cefc61b3cf,9323,Bloemfontein,Free State,25/03/2017,email
ZAC0017620,8a5267a63f6fcd54,42,Pretoria,Gauteng,23/03/2017,paid_search
ZAC0017622,b064c5f6e064125b,5218,East London,Eastern Cape,21/03/2017,email
ZAC0017662,1480af879a7399b2,3220,Pietermaritzburg,KwaZulu-Natal,21/03/2017,referral
ZAC0017786,dc3e98f6e5c84694,8009,Cape Town,Western Cape,18/03/2017,affiliate
ZAC0017939,2411e3bb74114fdd,1823,Soweto,Gauteng,27/03/2017,organic
ZAC0017970,3143add301fd1128,7642,Stellenbosch,Western Cape,14/03/2017,paid_search
ZAC0017996,3fc871f6aa6aabd1,6053,Port Elizabeth,Eastern Cape,03/03/2017,social
ZAC0018134,aae26aade81b8838,4048,Durban,KwaZulu-Natal,10/03/2017,referral
ZAC0018245,f81efbe8ffb65c7e,2057,Johannesburg,Gauteng,01/03/2017,affiliate
ZAC0018311,767328c84df94a85,740,Polokwane,Limpopo,10/03/2017,social
ZAC0018481,f016eb4326dd4caa,7609,Stellenbosch,Western Cape,14/03/2017,social
ZAC0018511,cc1c21f0cf7453dc,1223,Nelspruit,Mpumalanga,21/03/2017,paid_search
ZAC0018578,3b6f681949e81d89,353,Rustenburg,North West,07/03/2017,social
ZAC0018595,83ad09ef465a57ef,3258,Pietermaritzburg,KwaZulu-Natal,30/03/2017,affiliate
ZAC0018632,b55175edd13c9ecf,333,Rustenburg,North West,09/03/2017,affiliate
ZAC0018673,5275f288d6f67adf,7625,Stellenbosch,Western Cape,21/03/2017,paid_search
ZAC0018709,c06d01868af6e715,2040,Johannesburg,Gauteng,25/03/2017,organic
ZAC0018905,8f9d04c41b7fa743,4050,Durban,KwaZulu-Natal,09/03/2017,affiliate
ZAC0018946,5a207d5e9475b793,5244,East London,Eastern Cape,27/03/2017,social
ZAC0018953,a1ecd656a975c564,1831,Soweto,Gauteng,27/03/2017,referral
ZAC0018970,a4dd0c3337ed877f,8306,Kimberley,Northern Cape,21/03/2017,email
ZAC0019048,04be84a41987645c,5234,East London,Eastern Cape,29/03/2017,referral
ZAC0019077,31211c078a69fb61,161,Centurion,Gauteng,11/03/2017,paid_search
ZAC0019133,d4492ae0d0873071,60,Pretoria,Gauteng,16/03/2017,affiliate
ZAC0019195,eda48ed80e72a6ca,6016,Port Elizabeth,Eastern Cape,12/03/2017,email
ZAC0019237,a8ebb9aa4826a453,1253,Nelspruit,Mpumalanga,23/03/2017,paid_search
ZAC0019351,33e615cf7f012289,9348,Bloemfontein,Free State,16/03/2017,social
ZAC0019355,d8d76d3f062e2fcc,742,Polokwane,Limpopo,20/03/2017,paid_search
ZAC0019470,9c861c2e5f534142,5252,East London,Eastern Cape,05/03/2017,organic
ZAC0019497,59b4e491961dc601,3252,Pietermaritzburg,KwaZulu-Natal,18/03/2017,social
ZAC0019514,c8050f1b7e302eba,343,Rustenburg,North West,26/03/2017,social
ZAC0019560,162219c6ceb1c708,1210,Nelspruit,Mpumalanga,16/03/2017,referral
ZAC0019686,160ca39494b94c09,2243,Sandton,Gauteng,17/03/2017,social
ZAC0019766,1eb92245f142a75b,6005,Port Elizabeth,Eastern Cape,26/03/2017,paid_search
ZAC0019873,57fa4f26b791319b,1835,Soweto,Gauteng,08/03/2017,social
ZAC0020021,633245c908d4dd2b,18,Pretoria,Gauteng,13/03/2017,email
ZAC0020027,856a79af5d248622,7644,Stellenbosch,Western Cape,11/03/2017,affiliate
ZAC0020092,33360f6ce3d31f24,4058,Durban,KwaZulu-Natal,28/03/2017,email
ZAC0020138,51d08b1bf93c89d2,709,Polokwane,Limpopo,09/03/2017,social
ZAC0020242,5c94ca70dbe893c6,300,Rustenburg,North West,06/03/2017,paid_search
ZAC0020316,fbf54ff9a6015c7a,8039,Cape Town,Western Cape,12/03/2017,affiliate
ZAC0020331,28770dec61bf2f9d,5250,East London,Eastern Cape,24/03/2017,referral
ZAC0020334,c71c8d8a3a7a8616,6006,Port Elizabeth,Eastern Cape,03/03/2017,organic
ZAC0020336,cebf92b3543e9bb1,4031,Durban,KwaZulu-Natal,02/03/2017,email
ZAC0020356,9d0ca6e255934412,7623,Stellenbosch,Western Cape,29/03/2017,organic
ZAC0020446,e35f6fcbe4a75fa0,6017,Port Elizabeth,Eastern Cape,01/03/2017,paid_search
ZAC0020454,00577d7408ff40cc,5250,East London,Eastern Cape,30/03/2017,organic
ZAC0020565,1fb2190dd7f4e29f,303,Rustenburg,North West,12/03/2017,social
ZAC0020568,8f00fa5f091de25a,2239,Sandton,Gauteng,17/03/2017,social
ZAC0020606,a5061fe151508b89,3201,Pietermaritzburg,KwaZulu-Natal,16/03/2017,referral
ZAC0020610,b2a52efe9cf8268c,8031,Cape Town,Western Cape,29/03/2017,organic
ZAC0020697,9206a7ebf05ce8d8,2046,Johannesburg,Gauteng,13/03/2017,referral
ZAC0020713,5b713110a7b1a8c0,8317,Kimberley,Northern Cape,11/03/2017,social
ZAC0020730,fdecfe5a79a2ec40,4021,Durban,KwaZulu-Natal,10/03/2017,paid_search
ZAC0020732,90e765a780c0250d,6019,Port Elizabeth,Eastern Cape,15/03/2017,paid_search
ZAC0020796,ad336a6fdba4a0a1,17,Pretoria,Gauteng,26/03/2017,paid_search
ZAC0021023,2b408334e2ce4a72,758,Polokwane,Limpopo,01/03/2017,paid_search
ZAC0021046,76a131d4f67f573a,9334,Bloemfontein,Free State,30/03/2017,affiliate
ZAC0021100,c048114826a149a4,7626,Stellenbosch,Western Cape,10/03/2017,social
ZAC0021123,0815d32e6fd2a9bf,713,Polokwane,Limpopo,21/03/2017,organic
ZAC0021149,2c17ab4b86ca1766,703,Polokwane,Limpopo,11/03/2017,organic
ZAC0021172,ea4812ae254d34d6,1823,Soweto,Gauteng,15/03/2017,email
ZAC0021219,ba3981a9f00ca898,5248,East London,Eastern Cape,18/03/2017,organic
ZAC0021259,3aee2d6f091d4b0f,1856,Soweto,Gauteng,11/03/2017,email
ZAC0021279,b2039bc683dae425,7601,Stellenbosch,Western Cape,19/03/2017,organic
ZAC0021388,329b15c7d4b58a9c,745,Polokwane,Limpopo,05/03/2017,organic
ZAC0021411,5f8c3ecb789921f6,8344,Kimberley,Northern Cape,17/03/2017,organic
ZAC0021412,79e29975f5b4ba57,31,Pretoria,Gauteng,11/03/2017,paid_search
ZAC0021477,d74e790f946abd28,9338,Bloemfontein,Free State,27/03/2017,paid_search
ZAC0021647,7a64b7143341d5ab,1827,Soweto,Gauteng,17/03/2017,referral
ZAC0021715,9ca92a432314d417,3244,Pietermaritzburg,KwaZulu-Natal,16/03/2017,organic
ZAC0021817,d7e215b6742441e0,6010,Port Elizabeth,Eastern Cape,01/03/2017,affiliate
ZAC0021856,66e31c8544aedd58,327,Rustenburg,North West,29/03/2017,email
ZAC0021860,ca50c606d4e54830,718,Polokwane,Limpopo,07/03/2017,social
ZAC0021897,d69cd62badcf14dd,45,Pretoria,Gauteng,31/03/2017,social
ZAC0021925,d90a68d30ef0e70c,324,Rustenburg,North West,02/03/2017,email
ZAC0022080,2b96dda9be4f2e08,2245,Sandton,Gauteng,14/03/2017,email
ZAC0022096,e0fa1b834e6d5ed2,4006,Durban,KwaZulu-Natal,28/03/2017,organic
ZAC0022107,8d3bb9c3b314e6b3,320,Rustenburg,North West,09/03/2017,organic
ZAC0022164,d27b7a90085d8895,6042,Port Elizabeth,Eastern Cape,07/03/2017,paid_search
ZAC0022244,48e4fe6b1fd47d2e,1813,Soweto,Gauteng,21/03/2017,organic
ZAC0022313,41f23fb5fd1c6d5e,1246,Nelspruit,Mpumalanga,06/03/2017,affiliate
ZAC0022465,b0ffc0b1481070ce,2251,Sandton,Gauteng,11/03/2017,paid_search
ZAC0022480,9eb58f00db6b3c6a,709,Polokwane,Limpopo,27/03/2017,social
ZAC0022538,a4c208bfd55dc483,8045,Cape Town,Western Cape,15/03/2017,organic
ZAC0022628,b79b5a17fc7640ab,6041,Port Elizabeth,Eastern Cape,28/03/2017,paid_search
ZAC0022680,e2699acbeb813427,1235,Nelspruit,Mpumalanga,08/03/2017,paid_search
ZAC0022740,91626ef714db1487,5240,East London,Eastern Cape,18/03/2017,organic
ZAC0022790,8870483ee993a6ee,5241,East London,Eastern Cape,28/03/2017,organic
ZAC0022861,03bf83a39b2f6d27,6050,Port Elizabeth,Eastern Cape,05/03/2017,organic
ZAC0022880,49481c78f1f65d55,1207,Nelspruit,Mpumalanga,30/03/2017,organic
ZAC0022956,bda22d0a833b9dc3,8336,Kimberley,Northern Cape,07/03/2017,organic
ZAC0022973,b8c5527d591cff9a,5245,East London,Eastern Cape,17/03/2017,referral
ZAC0022987,877a5ddb9e8e2d91,4059,Durban,KwaZulu-Natal,08/03/2017,social
ZAC0022992,5d693bbb1412cff8,7648,Stellenbosch,Western Cape,02/03/2017,organic
ZAC0023211,99e15b538af1716d,9302,Bloemfontein,Free State,09/03/2017,affiliate
ZAC0023373,6d78c71e987b0a3e,5222,East London,Eastern Cape,02/03/2017,paid_search
ZAC0023448,54a22d64061abdc4,1256,Nelspruit,Mpumalanga,04/03/2017,referral
ZAC0023581,956e24659d8d25f0,9302,Bloemfontein,Free State,04/03/2017,social
ZAC0023613,7fb7cb3a538ffd71,28,Pretoria,Gauteng,04/03/2017,organic
ZAC0023651,dd1e063846e31b27,2026,Johannesburg,Gauteng,27/03/2017,email
ZAC0023667,41a1df81a7e5fa4a,36,Pretoria,Gauteng,31/03/2017,organic
ZAC0023670,1ff0c4c10e8c6571,8028,Cape Town,Western Cape,23/03/2017,organic
ZAC0023726,8f21a4feaca7e80c,2234,Sandton,Gauteng,28/03/2017,paid_search
ZAC0023827,5d7866dba3e786d7,194,Centurion,Gauteng,12/03/2017,paid_search
ZAC0023840,879b820689fecbf4,4013,Durban,KwaZulu-Natal,22/03/2017,paid_search
ZAC0023874,befd31062341d632,4002,Durban,KwaZulu-Natal,16/03/2017,organic
ZAC0023952,c02ea904c189b61e,9345,Bloemfontein,Free State,23/03/2017,organic
ZAC0023957,90ed5f6ffac46596,311,Rustenburg,North West,25/03/2017,organic
ZAC0023965,156913c1c0dc0400,2208,Sandton,Gauteng,17/03/2017,social
ZAC0023994,3d38d589e076228c,5234,East London,Eastern Cape,11/03/2017,social
